"Tests by Day","12405","2020-06-01 00:00:00","12405","","","",""
"Tests by Day","3314","2020-05-31 00:00:00","3314","","","",""
"Tests by Day","9667","2020-05-30 00:00:00","9667","","","",""
"Tests by Day","12618","2020-05-29 00:00:00","12618","","","",""
"Tests by Day","11100","2020-05-28 00:00:00","11100","","","",""
"Tests by Day","9987","2020-05-27 00:00:00","9987","","","",""
"Tests by Day","10561","2020-05-26 00:00:00","10561","","","",""
"Tests by Day","2683","2020-05-25 00:00:00","2683","","","",""
"Tests by Day","3212","2020-05-24 00:00:00","3212","","","",""
"Tests by Day","6898","2020-05-23 00:00:00","6898","","","",""
"Tests by Day","9989","2020-05-22 00:00:00","9989","","","",""
"Tests by Day","9865","2020-05-21 00:00:00","9865","","","",""
"Tests by Day","9306","2020-05-20 00:00:00","9306","","","",""
"Tests by Day","10319","2020-05-19 00:00:00","10319","","","",""
"Tests by Day","10984","2020-05-18 00:00:00","10984","","","",""
"Tests by Day","3887","2020-05-17 00:00:00","3887","","","",""
"Tests by Day","12300","2020-05-16 00:00:00","12300","","","",""
"Tests by Day","11878","2020-05-15 00:00:00","11878","","","",""
"Tests by Day","9534","2020-05-14 00:00:00","9534","","","",""
"Tests by Day","9812","2020-05-13 00:00:00","9812","","","",""
"Tests by Day","10444","2020-05-12 00:00:00","10444","","","",""
"Tests by Day","10529","2020-05-11 00:00:00","10529","","","",""
"Tests by Day","2125","2020-05-10 00:00:00","2125","","","",""
"Tests by Day","10338","2020-05-09 00:00:00","10338","","","",""
"Tests by Day","10932","2020-05-08 00:00:00","10932","","","",""
"Tests by Day","10209","2020-05-07 00:00:00","10209","","","",""
"Tests by Day","8805","2020-05-06 00:00:00","8805","","","",""
"Tests by Day","8824","2020-05-05 00:00:00","8824","","","",""
"Tests by Day","8667","2020-05-04 00:00:00","8667","","","",""
"Tests by Day","1565","2020-05-03 00:00:00","1565","","","",""
"Tests by Day","5730","2020-05-02 00:00:00","5730","","","",""
"Tests by Day","7669","2020-05-01 00:00:00","7669","","","",""
"Tests by Day","6466","2020-04-30 00:00:00","6466","","","",""
