"Tests by Day","12042","2020-06-04 00:00:00","12042","","","",""
"Tests by Day","11630","2020-06-03 00:00:00","11630","","","",""
"Tests by Day","12379","2020-06-02 00:00:00","12379","","","",""
"Tests by Day","12391","2020-06-01 00:00:00","12391","","","",""
"Tests by Day","3306","2020-05-31 00:00:00","3306","","","",""
"Tests by Day","9647","2020-05-30 00:00:00","9647","","","",""
"Tests by Day","12602","2020-05-29 00:00:00","12602","","","",""
"Tests by Day","11083","2020-05-28 00:00:00","11083","","","",""
"Tests by Day","9960","2020-05-27 00:00:00","9960","","","",""
"Tests by Day","10544","2020-05-26 00:00:00","10544","","","",""
"Tests by Day","2681","2020-05-25 00:00:00","2681","","","",""
"Tests by Day","3201","2020-05-24 00:00:00","3201","","","",""
"Tests by Day","6885","2020-05-23 00:00:00","6885","","","",""
"Tests by Day","9973","2020-05-22 00:00:00","9973","","","",""
"Tests by Day","9852","2020-05-21 00:00:00","9852","","","",""
"Tests by Day","9295","2020-05-20 00:00:00","9295","","","",""
"Tests by Day","10311","2020-05-19 00:00:00","10311","","","",""
"Tests by Day","10970","2020-05-18 00:00:00","10970","","","",""
"Tests by Day","3885","2020-05-17 00:00:00","3885","","","",""
"Tests by Day","12269","2020-05-16 00:00:00","12269","","","",""
"Tests by Day","11860","2020-05-15 00:00:00","11860","","","",""
"Tests by Day","9516","2020-05-14 00:00:00","9516","","","",""
"Tests by Day","9798","2020-05-13 00:00:00","9798","","","",""
"Tests by Day","10423","2020-05-12 00:00:00","10423","","","",""
"Tests by Day","10511","2020-05-11 00:00:00","10511","","","",""
"Tests by Day","2122","2020-05-10 00:00:00","2122","","","",""
"Tests by Day","10308","2020-05-09 00:00:00","10308","","","",""
"Tests by Day","10920","2020-05-08 00:00:00","10920","","","",""
"Tests by Day","10200","2020-05-07 00:00:00","10200","","","",""
"Tests by Day","8794","2020-05-06 00:00:00","8794","","","",""
"Tests by Day","8813","2020-05-05 00:00:00","8813","","","",""
"Tests by Day","8654","2020-05-04 00:00:00","8654","","","",""
"Tests by Day","1561","2020-05-03 00:00:00","1561","","","",""
"Tests by Day","5706","2020-05-02 00:00:00","5706","","","",""
"Tests by Day","7657","2020-05-01 00:00:00","7657","","","",""
"Tests by Day","6455","2020-04-30 00:00:00","6455","","","",""
"Tests by Day","5860","2020-04-29 00:00:00","5860","","","",""
"Tests by Day","5012","2020-04-28 00:00:00","5012","","","",""
"Tests by Day","3992","2020-04-27 00:00:00","3992","","","",""
"Tests by Day","681","2020-04-26 00:00:00","681","","","",""
"Tests by Day","914","2020-04-25 00:00:00","914","","","",""
"Tests by Day","2578","2020-04-24 00:00:00","2578","","","",""
"Tests by Day","2141","2020-04-23 00:00:00","2141","","","",""
"Tests by Day","2029","2020-04-22 00:00:00","2029","","","",""
"Tests by Day","1982","2020-04-21 00:00:00","1982","","","",""
"Tests by Day","2194","2020-04-20 00:00:00","2194","","","",""
"Tests by Day","712","2020-04-19 00:00:00","712","","","",""
"Tests by Day","730","2020-04-18 00:00:00","730","","","",""
"Tests by Day","2009","2020-04-17 00:00:00","2009","","","",""
"Tests by Day","1828","2020-04-16 00:00:00","1828","","","",""
"Tests by Day","1793","2020-04-15 00:00:00","1793","","","",""
"Tests by Day","1746","2020-04-14 00:00:00","1746","","","",""
"Tests by Day","1853","2020-04-13 00:00:00","1853","","","",""
