"Tests by Day W/ % Positivity (PCR)","21740","21740","2020-04-26 00:00:00","2020-04-25 00:00:00","Number of Records","668","893","2020-06-17 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","12012","12012","2020-04-19 00:00:00","2020-04-18 00:00:00","Number of Records","687","713","2020-06-16 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","10340","10340","2020-04-12 00:00:00","2020-04-11 00:00:00","Number of Records","659","641","2020-06-15 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","9910","9910","2020-04-05 00:00:00","2020-04-04 00:00:00","Number of Records","662","873","2020-06-14 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","11040","11040","2020-03-29 00:00:00","2020-03-28 00:00:00","Number of Records","600","1011","2020-06-13 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","12379","12379","2020-03-22 00:00:00","2020-03-21 00:00:00","Number of Records","578","660","2020-06-12 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","7508","7508","2020-03-15 00:00:00","2020-03-14 00:00:00","Number of Records","255","211","2020-06-11 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","1095","1095","2020-03-08 00:00:00","2020-03-07 00:00:00","Number of Records","7","3","2020-06-10 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","51","51","2020-03-01 00:00:00","2020-02-28 00:00:00","Number of Records","6","4","2020-06-09 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","18","18","2020-02-23 00:00:00","2020-02-22 00:00:00","Number of Records","142303","20232","2020-06-08 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (PCR)","1","1","2020-02-02 00:00:00","","Number of Records","5277","","2020-06-07 00:00:00","% Positive",""
"Tests by Day","17","2020-08-01 00:00:00","2020-07-31 00:00:00","17","17","","","","",""
"Tests by Day","2108","2020-07-31 00:00:00","2020-07-30 00:00:00","2108","2108","","","","",""
"Tests by Day","5996","2020-07-30 00:00:00","2020-07-29 00:00:00","5996","5996","","","","",""
"Tests by Day","7552","2020-07-29 00:00:00","2020-07-28 00:00:00","7552","7552","","","","",""
"Tests by Day","8852","2020-07-28 00:00:00","2020-07-27 00:00:00","8852","8852","","","","",""
"Tests by Day","10176","2020-07-27 00:00:00","2020-07-26 00:00:00","10176","10176","","","","",""
"Tests by Day","4905","2020-07-26 00:00:00","2020-07-25 00:00:00","4905","4905","","","","",""
"Tests by Day","6806","2020-07-25 00:00:00","2020-07-24 00:00:00","6806","6806","","","","",""
"Tests by Day","11494","2020-07-24 00:00:00","2020-07-23 00:00:00","11494","11494","","","","",""
"Tests by Day","10578","2020-07-23 00:00:00","2020-07-22 00:00:00","10578","10578","","","","",""
"Tests by Day","12417","2020-07-22 00:00:00","2020-07-21 00:00:00","12417","12417","","","","",""
"Tests by Day","13341","2020-07-21 00:00:00","2020-07-20 00:00:00","13341","13341","","","","",""
"Tests by Day","13154","2020-07-20 00:00:00","2020-07-19 00:00:00","13154","13154","","","","",""
"Tests by Day","5529","2020-07-19 00:00:00","2020-07-18 00:00:00","5529","5529","","","","",""
"Tests by Day","9598","2020-07-18 00:00:00","2020-07-17 00:00:00","9598","9598","","","","",""
"Tests by Day","17317","2020-07-17 00:00:00","2020-07-16 00:00:00","17317","17317","","","","",""
"Tests by Day","14489","2020-07-16 00:00:00","2020-07-15 00:00:00","14489","14489","","","","",""
"Tests by Day","16924","2020-07-15 00:00:00","2020-07-14 00:00:00","16924","16924","","","","",""
"Tests by Day","18525","2020-07-14 00:00:00","2020-07-13 00:00:00","18525","18525","","","","",""
"Tests by Day","17600","2020-07-13 00:00:00","2020-07-12 00:00:00","17600","17600","","","","",""
"Tests by Day","7103","2020-07-12 00:00:00","2020-07-11 00:00:00","7103","7103","","","","",""
"Tests by Day","10709","2020-07-11 00:00:00","2020-07-10 00:00:00","10709","10709","","","","",""
"Tests by Day","19764","2020-07-10 00:00:00","2020-07-09 00:00:00","19764","19764","","","","",""
"Tests by Day","21272","2020-07-09 00:00:00","2020-07-08 00:00:00","21272","21272","","","","",""
"Tests by Day","20645","2020-07-08 00:00:00","2020-07-07 00:00:00","20645","20645","","","","",""
"Tests by Day","21729","2020-07-07 00:00:00","2020-07-06 00:00:00","21729","21729","","","","",""
"Tests by Day","20945","2020-07-06 00:00:00","2020-07-05 00:00:00","20945","20945","","","","",""
"Tests by Day","6970","2020-07-05 00:00:00","2020-07-04 00:00:00","6970","6970","","","","",""
"Tests by Day","6860","2020-07-04 00:00:00","2020-07-03 00:00:00","6860","6860","","","","",""
"Tests by Day","14410","2020-07-03 00:00:00","2020-07-02 00:00:00","14410","14410","","","","",""
"Tests by Day","23194","2020-07-02 00:00:00","2020-07-01 00:00:00","23194","23194","","","","",""
"Tests by Day","22742","2020-07-01 00:00:00","2020-06-30 00:00:00","22742","22742","","","","",""
"Tests by Day","22946","2020-06-30 00:00:00","2020-06-29 00:00:00","22946","22946","","","","",""
"Tests by Day","23394","2020-06-29 00:00:00","2020-06-28 00:00:00","23394","23394","","","","",""
"Tests by Day","7914","2020-06-28 00:00:00","2020-06-27 00:00:00","7914","7914","","","","",""
"Tests by Day","12042","2020-06-27 00:00:00","2020-06-26 00:00:00","12042","12042","","","","",""
"Tests by Day","22528","2020-06-26 00:00:00","2020-06-25 00:00:00","22528","22528","","","","",""
"Tests by Day","21578","2020-06-25 00:00:00","2020-06-24 00:00:00","21578","21578","","","","",""
"Tests by Day","21643","2020-06-24 00:00:00","2020-06-23 00:00:00","21643","21643","","","","",""
"Tests by Day","21554","2020-06-23 00:00:00","2020-06-22 00:00:00","21554","21554","","","","",""
"Tests by Day","19384","2020-06-22 00:00:00","2020-06-21 00:00:00","19384","19384","","","","",""
"Tests by Day","6776","2020-06-21 00:00:00","2020-06-20 00:00:00","6776","6776","","","","",""
"Tests by Day","10908","2020-06-20 00:00:00","2020-06-19 00:00:00","10908","10908","","","","",""
"Tests by Day","20223","2020-06-19 00:00:00","2020-06-18 00:00:00","20223","20223","","","","",""
"Tests by Day","18833","2020-06-18 00:00:00","2020-06-17 00:00:00","18833","18833","","","","",""
"Tests by Day","16335","2020-06-17 00:00:00","2020-06-16 00:00:00","16335","16335","","","","",""
"Tests by Day","17070","2020-06-16 00:00:00","2020-06-15 00:00:00","17070","17070","","","","",""
"Tests by Day","15777","2020-06-15 00:00:00","2020-06-14 00:00:00","15777","15777","","","","",""
"Tests by Day","5220","2020-06-14 00:00:00","2020-06-13 00:00:00","5220","5220","","","","",""
"Tests by Day","8410","2020-06-13 00:00:00","2020-06-12 00:00:00","8410","8410","","","","",""
"Tests by Day","15999","2020-06-12 00:00:00","2020-06-11 00:00:00","15999","15999","","","","",""
"Tests by Day","14770","2020-06-11 00:00:00","2020-06-10 00:00:00","14770","14770","","","","",""
"Tests by Day","14732","2020-06-10 00:00:00","2020-06-09 00:00:00","14732","14732","","","","",""
"Tests by Day","15197","2020-06-09 00:00:00","2020-06-08 00:00:00","15197","15197","","","","",""
"Tests by Day","14136","2020-06-08 00:00:00","2020-06-07 00:00:00","14136","14136","","","","",""
"Tests by Day","4243","2020-06-07 00:00:00","2020-06-06 00:00:00","4243","4243","","","","",""
"Tests by Day","5662","2020-06-06 00:00:00","2020-06-05 00:00:00","5662","5662","","","","",""
"Tests by Day","13601","2020-06-05 00:00:00","2020-06-04 00:00:00","13601","13601","","","","",""
"Tests by Day","11785","2020-06-04 00:00:00","2020-06-03 00:00:00","11785","11785","","","","",""
"Tests by Day","11378","2020-06-03 00:00:00","2020-06-02 00:00:00","11378","11378","","","","",""
"Tests by Day","12117","2020-06-02 00:00:00","2020-06-01 00:00:00","12117","12117","","","","",""
"Tests by Day","12138","2020-06-01 00:00:00","2020-05-31 00:00:00","12138","12138","","","","",""
"Tests by Day","3220","2020-05-31 00:00:00","2020-05-30 00:00:00","3220","3220","","","","",""
"Tests by Day","9440","2020-05-30 00:00:00","2020-05-29 00:00:00","9440","9440","","","","",""
"Tests by Day","12368","2020-05-29 00:00:00","2020-05-28 00:00:00","12368","12368","","","","",""
"Tests by Day","10873","2020-05-28 00:00:00","2020-05-27 00:00:00","10873","10873","","","","",""
"Tests by Day","9779","2020-05-27 00:00:00","2020-05-26 00:00:00","9779","9779","","","","",""
"Tests by Day","10413","2020-05-26 00:00:00","2020-05-25 00:00:00","10413","10413","","","","",""
"Tests by Day","2677","2020-05-25 00:00:00","2020-05-24 00:00:00","2677","2677","","","","",""
"Tests by Day","3165","2020-05-24 00:00:00","2020-05-23 00:00:00","3165","3165","","","","",""
"Tests by Day","6765","2020-05-23 00:00:00","2020-05-22 00:00:00","6765","6765","","","","",""
"Tests by Day","9857","2020-05-22 00:00:00","2020-05-21 00:00:00","9857","9857","","","","",""
"Tests by Day","9767","2020-05-21 00:00:00","2020-05-20 00:00:00","9767","9767","","","","",""
"Tests by Day","9217","2020-05-20 00:00:00","2020-05-19 00:00:00","9217","9217","","","","",""
"Tests by Day","10188","2020-05-19 00:00:00","2020-05-18 00:00:00","10188","10188","","","","",""
